Timestamp,StockSymbol,Price,TradeVolume,InvestorNote
1929-10-01T09:00:00,FORD,22.50,15000,"Strong demand for Model A"
1929-10-01T09:15:00,GE,395.25,8000,"Radio boom driving growth"
1929-10-01T09:30:00,RCA,101.75,12000,"Buy RCA before radio peaks"
1929-10-01T10:00:00,USST,235.10,6000,
1929-10-01T10:15:00,FORD,22.75,18000,"Heard crash rumors, sell soon"
1929-10-01T10:30:00,GE,398.50,9000,
1929-10-01T11:00:00,RCA,102.25,11000,"Market feels shaky"
1929-10-01T11:15:00,USST,236.00,7000,"Steel demand steady"
1929-10-01T12:00:00,FORD,22.30,20000,
1929-10-01T12:15:00,GE,400.10,8500,"Overvalued? Some say crash"
1929-10-02T09:00:00,RCA,100.50,13000,
1929-10-02T09:15:00,USST,234.75,6500,"Banks nervous about loans"
1929-10-02T09:30:00,FORD,22.10,22000,
1929-10-02T10:00:00,GE,397.80,9500,
1929-10-02T10:15:00,RCA,99.90,14000,"Sell before crash hits"
1929-10-02T10:30:00,USST,233.50,7200,
1929-10-02T11:00:00,FORD,21.95,25000,"Panic selling soon?"
1929-10-02T11:15:00,GE,396.25,8800,
1929-10-03T09:00:00,RCA,98.75,16000,
1929-10-03T09:15:00,USST,232.10,6900,"Steel stocks holding"
1929-10-03T09:30:00,FORD,21.80,27000,
1929-10-03T10:00:00,GE,394.50,9200,"Crash whispers growing"
1929-10-03T10:15:00,RCA,97.50,17000,
1929-10-03T10:30:00,USST,231.00,7400,
1929-10-03T11:00:00,FORD,21.60,29000,"Market on edge"
1929-10-04T09:00:00,GE,392.75,9600,
1929-10-04T09:15:00,RCA,96.25,18000,
1929-10-04T09:30:00,USST,229.80,7600,
1929-10-04T10:00:00,FORD,21.40,31000,"Crash fears spiking"
1929-10-04T10:15:00,GE,390.10,9800,
1929-10-05T09:00:00,RCA,95.00,19000,"Radio stocks slipping"
1929-10-05T09:15:00,USST,228.50,7800,
1929-10-05T09:30:00,FORD,21.20,33000,
1929-10-05T10:00:00,GE,388.25,10000,"Banks pulling back"
1929-10-05T10:15:00,RCA,93.75,20000,
1929-10-06T09:00:00,USST,227.10,8000,
1929-10-06T09:15:00,FORD,21.00,35000,"Sell everything soon"
1929-10-06T09:30:00,GE,386.50,10200,
1929-10-06T10:00:00,RCA,92.50,21000,
1929-10-07T09:00:00,USST,225.75,8200,"Steel demand dropping"
1929-10-07T09:15:00,FORD,20.80,37000,
1929-10-07T09:30:00,GE,384.75,10400,
1929-10-07T10:00:00,RCA,91.25,22000,"Crash is coming"
1929-10-08T09:00:00,USST,224.50,8400,
1929-10-08T09:15:00,FORD,20.60,39000,
1929-10-08T09:30:00,GE,382.90,10600,"Market in freefall soon"
1929-10-08T10:00:00,RCA,90.00,23000,
1929-10-09T09:00:00,USST,223.25,8600,
1929-10-09T09:15:00,FORD,20.40,41000,"Crash rumors everywhere"
1929-10-09T09:30:00,GE,381.00,10800,
1929-10-09T10:00:00,RCA,88.75,24000,
1929-10-10T09:00:00,USST,222.00,8800,"Banks in trouble"
1929-10-10T09:15:00,FORD,20.20,43000,
1929-10-10T09:30:00,GE,379.25,11000,
1929-10-10T10:00:00,RCA,87.50,25000,"Radio bubble bursting"
1929-10-11T09:00:00,USST,220.75,9000,
1929-10-11T09:15:00,FORD,20.00,45000,
1929-10-11T09:30:00,GE,377.50,11200,"Crash is inevitable"
1929-10-11T10:00:00,RCA,86.25,26000,
1929-10-12T09:00:00,USST,219.50,9200,
1929-10-12T09:15:00,FORD,19.80,47000,"Market collapsing"
1929-10-12T09:30:00,GE,375.75,11400,
1929-10-12T10:00:00,RCA,85.00,27000,
1929-10-13T09:00:00,USST,218.25,9400,
1929-10-13T09:15:00,FORD,19.60,49000,
1929-10-13T09:30:00,GE,374.00,11600,"Panic in the air"
1929-10-13T10:00:00,RCA,83.75,28000,
1929-10-14T09:00:00,USST,217.00,9600,
1929-10-14T09:15:00,FORD,19.40,51000,
1929-10-14T09:30:00,GE,372.25,11800,
1929-10-14T10:00:00,RCA,82.50,29000,"Radio stocks crashing"
1929-10-15T09:00:00,USST,215.75,9800,
1929-10-15T09:15:00,FORD,19.20,53000,
1929-10-15T09:30:00,GE,370.50,12000,
1929-10-15T10:00:00,RCA,81.25,30000,
1929-10-16T09:00:00,USST,214.50,10000,"Steel hit hard"
1929-10-16T09:15:00,FORD,19.00,55000,
1929-10-16T09:30:00,GE,368.75,12200,
1929-10-16T10:00:00,RCA,80.00,31000,
1929-10-17T09:00:00,USST,213.25,10200,
1929-10-17T09:15:00,FORD,18.80,57000,"Crash in full swing"
1929-10-17T09:30:00,GE,367.00,12400,
1929-10-17T10:00:00,RCA,78.75,32000,
1929-10-18T09:00:00,USST,212.00,10400,
1929-10-18T09:15:00,FORD,18.60,59000,
1929-10-18T09:30:00,GE,365.25,12600,"Banks failing fast"
1929-10-18T10:00:00,RCA,77.50,33000,
1929-10-19T09:00:00,USST,210.75,10600,
1929-10-19T09:15:00,FORD,18.40,61000,
1929-10-19T09:30:00,GE,363.50,12800,
1929-10-19T10:00:00,RCA,76.25,34000,"Radio dreams dead"
1929-10-20T09:00:00,USST,209.50,10800,
1929-10-20T09:15:00,FORD,18.20,63000,
1929-10-20T09:30:00,GE,361.75,13000,
1929-10-20T10:00:00,RCA,75.00,35000,
1929-10-21T09:00:00,USST,208.25,11000,"Steel stocks tanking"
1929-10-21T09:15:00,FORD,18.00,65000,
1929-10-21T09:30:00,GE,360.00,13200,
1929-10-21T10:00:00,RCA,73.75,36000,
1929-10-22T09:00:00,USST,207.00,11200,
1929-10-22T09:15:00,FORD,17.80,67000,"Market in chaos"
1929-10-22T09:30:00,GE,358.25,13400,
1929-10-22T10:00:00,RCA,72.50,37000,
1929-10-23T09:00:00,USST,205.75,11400,
1929-10-23T09:15:00,FORD,17.60,69000,
1929-10-23T09:30:00,GE,356.50,13600,"No recovery in sight"
1929-10-23T10:00:00,RCA,71.25,38000,
1929-10-24T09:00:00,USST,204.50,11600,
1929-10-24T09:15:00,FORD,17.40,71000,
1929-10-24T09:30:00,GE,354.75,13800,
1929-10-24T10:00:00,RCA,70.00,39000,"Black Thursday hits"
1929-10-25T09:00:00,USST,203.25,11800,
1929-10-25T09:15:00,FORD,17.20,73000,
1929-10-25T09:30:00,GE,353.00,14000,
1929-10-25T10:00:00,RCA,68.75,40000,
1929-10-26T09:00:00,USST,202.00,12000,"Steel done for"
1929-10-26T09:15:00,FORD,17.00,75000,
1929-10-26T09:30:00,GE,351.25,14200,
1929-10-26T10:00:00,RCA,67.50,41000,
1929-10-27T09:00:00,USST,200.75,12200,
1929-10-27T09:15:00,FORD,16.80,77000,
1929-10-27T09:30:00,GE,349.50,14400,"Market is history"
1929-10-27T10:00:00,RCA,66.25,42000,
1929-10-28T09:00:00,USST,199.50,12400,
1929-10-28T09:15:00,FORD,16.60,79000,
1929-10-28T09:30:00,GE,347.75,14600,
1929-10-28T10:00:00,RCA,65.00,43000,"Black Tuesday looms"
1929-10-29T09:00:00,USST,198.25,12600,
1929-10-29T09:15:00,FORD,16.40,81000,
1929-10-29T09:30:00,GE,346.00,14800,
1929-10-29T10:00:00,RCA,63.75,44000,
1929-10-30T09:00:00,USST,197.00,12800,"Steel at rock bottom"
1929-10-30T09:15:00,FORD,16.20,83000,
1929-10-30T09:30:00,GE,344.25,15000,
1929-10-30T10:00:00,RCA,62.50,45000,
1929-10-31T09:00:00,USST,195.75,13000,
1929-10-31T09:15:00,FORD,16.00,85000,"Crash complete"
1929-10-31T09:30:00,GE,342.50,15200,
1929-10-31T10:00:00,RCA,61.25,46000,